"Year","Fires","Acres"
2013,47579,4319546
2012,67774,9326238
2011,74126,8711367
2010,71971,3422724
2009,78792,5921786
2008,78979,5292468
2007,85705,9328045
2006,96385,9873745
2005,66753,8689389
2004,65461,8097880
2003,63629,3960842
2002,73457,7184712
2001,84079,3570911
2000,92250,7393493
1999,92487,5626093
1998,81043,1329704
1997,66196,2856959
1996,96363,6065998
1995,82234,1840546
1994,79107,4073579
1993,58810,1797574
1992,87394,2069929
1991,75754,2953578
1990,66481,4621621
1989,48949,1827310
1988,72750,5009290
1987,71300,2447296
1986,85907,2719162
1985,82591,2896147
1984,20493,1148409
1983,18229,1323666
1982,174755,2382036
1981,249370,4814206
1980,234892,5260825
1979,163196,2986826
1978,218842,3910913
1977,173998,3152644
1976,241699,5109926
1975,134872,1791327
1974,145868,2879095
1973,117957,1915273
1972,124554,2641166
1971,108398,4278472
1970,121736,3278565
1969,113351,6689081
1968,125371,4231996
1967,125025,4658586
1966,122500,4574389
1965,113684,2652112
1964,116358,4197309
1963,164183,7120768
1962,115345,4078894
1961,98517,3036219
1960,103387,4478188
1959,104662,4156000
1958,97910,3280000
1957,83392,3410000
1956,143485,6606000
1955,145180,8069000
1954,176891,8833000
1953,154160,9976000
1952,188277,14187000
1951,164090,10781000
1950,208402,15519000
1949,193774,15397000
1948,174189,16557000
1947,200799,23226000
1946,172278,20691000
1945,124728,17681000
1944,131229,16549000
1943,210326,32333000
1942,208218,31854000
1941,199702,26406000
1940,195427,25848000
1939,212671,30449000
1938,232229,33815000
1937,185209,21981000
1936,226285,43207000
1935,140297,30335000
1934,162663,41821000
1933,140722,43890000
1932,166399,42063000
1931,187214,51607000
1930,190980,52266000
1929,134895,46230000
1928,175934,43542000
1927,158438,38531000
1926,91793,24316000
