Year,Fires,Acres
1959,104662,4156000
1958,97910,3280000
1957,83392,3410000
1956,143485,6606000
1955,145180,8069000
1954,176891,8833000
1953,154160,9976000
1952,188277,14187000
1951,164090,10781000
1950,208402,15519000
1949,193774,15397000
1948,174189,16557000
1947,200799,23226000
1946,172278,20691000
1945,124728,17681000
1944,131229,16549000
1943,210326,32333000
1942,208218,31854000
1941,199702,26406000
1940,195427,25848000
1939,212671,30449000
1938,232229,33815000
1937,185209,21981000
1936,226285,43207000
1935,140297,30335000
1934,162663,41821000
1933,140722,43890000
1932,166399,42063000
1931,187214,51607000
1930,190980,52266000
1929,134895,46230000
1928,175934,43542000
1927,158438,38531000
1926,91793,24316000
